stock1,stock2,weight1,weight2,model,p_val,mean,std,skewness
2883,2610,-0.3297347683895588,0.6702652316104413,model3,0.15135217413602797,0.9373075296934129,0.0010702793486487077,-0.009057613873027795
2106,2206,-0.7296229815940326,0.2703770184059673,model3,0.05445243235636496,-2.0399304108894665,0.0011293964162791409,0.1831128290747689
2106,2610,0.38338893282203157,-0.6166110671779684,model1,0.9240774687330198,2.561741634369804e-05,0.0011952877577699672,0.5227068817824962
2106,2888,-0.21782780753448136,-0.7821721924655186,model2,0.03496063250418063,-2.34593189917043,0.0009294182985800271,-0.02221925565357336
2206,2610,-0.1877516806659643,0.8122483193340357,model3,0.16748079713136976,1.4101069741731258,0.001356940852542784,-0.15298343968538455
2206,2888,0.06448034180530393,0.9355196581946961,model3,0.1185577560329344,1.9785921260361095,0.0010638304968585356,0.6231038854323063
2395,2885,-0.2741330105719658,0.7258669894280342,model3,0.394995732422584,0.28488325347136567,0.0010813871768549207,-0.12746340842750634
2325,6239,0.5152395862573255,0.4847604137426744,model3,0.0035617796801015894,4.075880339348652,0.0008277407344494984,0.18121733558596878
2812,6239,-0.5716902558859192,0.4283097441140809,model3,0.01614771899179151,0.5407040014820287,0.000596330332641138,0.1361167150170723
1319,3682,-0.20735270065495698,0.7926472993450431,model3,0.25981322912155536,1.1573598544226185,0.00139382792000355,-0.22506408919195736
